DESCRIPCION,TAMAÑO,CODIGO_POSTAL,BARRIO,NUMERO
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33206,Centro,4
PITBULL TERRIER,Mediano,33203,L' Arena,5
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33203,L' Arena,3
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33213,La Calzada,30
STAFFORDSHIRE BULL TERRIER,Mediano,33202,Centro,13
PITBULL TERRIER,Mediano,33204,L' Arena,4
PITBULL TERRIER,Mediano,33207,Laviada,26
AMERICAN BULLY,Mediano,33207,El Polígono,1
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33211,Montevil,7
STAFFORDSHIRE BULL TERRIER,Mediano,33210,Contrueces,3
STAFFORDSHIRE BULL TERRIER,Mediano,33691,Veriña,1
ROTTWEILER,Grande,33207,Laviada,2
ROTTWEILER,Grande,33202,Centro,2
PITBULL TERRIER,Mediano,33392,Ruedes,2
STAFFORDSHIRE BULL TERRIER,Mediano,33208,El Llano,12
PINCHERE (CHIGUAGUA),Pequeño,33208,El Llano,1
AMERICAN BULLY,Mediano,33208,El Llano,5
STAFFORDSHIRE BULL TERRIER,Mediano,33212,La Calzada,5
AMERICAN BULLY,Mediano,33350,Vega,2
DOBERMAN,Mediano,33203,Somió,1
AKITA INU,Mediano,33203,Somió,1
PITBULL TERRIER,Mediano,33697,San Andrés de los Tacones,3
MESTIZO,Mediano,33201,Cimavilla,2
DOGO ARGENTINO,Mediano,33202,L' Arena,1
ROTTWEILER,Mediano,33691,Veriña,2
PITBULL TERRIER,Mediano,33212,Moreda,1
AMERICAN PITBULL TERRIER,Mediano,33212,Moreda,1
AMERICAN STAFFORDSHIRE TERRIER,Grande,33209,El Llano,1
ROTTWEILER,Mediano,33204,Viesques,1
STAFFORDSHIRE BULL TERRIER,Mediano,33204,Viesques,8
FILA BRASILEIRO,Pequeño,33213,La Calzada,1
MESTIZO,Mediano,33208,El Llano,2
MASTÍN,Grande,33208,El Llano,1
STAFFORDSHIRE BULL TERRIER,Mediano,33299,La Calzada,1
AMERICAN BULLY,Pequeño,33212,El Natahoyo,1
AMERICAN BULLY,Mediano,33209,El Llano,2
PITBULL TERRIER,Mediano,33394,Cabueñes,4
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33392,Porceyo,4
PITBULL TERRIER,Mediano,33391,Granda,5
MESTIZO,Mediano,33203,Somió,1
BOXER,Mediano,33209,Ceares/Ciares,1
ROTTWEILER,Mediano,33211,Tremañes,2
ROTTWEILER,Mediano,33392,La Pedrera,1
AMERICAN PITBULL TERRIER,Mediano,33393,L' Abadía Cenero,1
AMERICAN BULLY,Mediano,33393,L' Abadía Cenero,1
PITBULL TERRIER,Pequeño,33211,Roces,1
MESTIZO,Mediano,33211,Tremañes,1
PITBULL TERRIER,Mediano,33691,Puao,1
ROTTWEILER,Mediano,33290,Jove/Xove,2
AMERICAN STAFFORDSHIRE TERRIER,Mediano,33213,Jove/Xove,3
STAFFORDSHIRE BULL TERRIER,Mediano,33392,Porceyo,3
STAFFORDSHIRE BULL TERRIER,Mediano,33392,Ruedes,1
STAFFORDSHIRE BULL TERRIER,Mediano,33392,La Pedrera,1
AMERICAN BULLY,Mediano,33213,La Calzada,7
STAFFORDSHIRE BULL TERRIER,Mediano,33213,La Calzada,16
AKITA INU,Mediano,33201,Centro,1
PITBULL TERRIER,Mediano,33211,Nuevo Gijón/La Peral,5
PITBULL TERRIER,Mediano,33210,Pumarín,41
AMERICAN PITBULL TERRIER,Mediano,33210,El Llano,1
ROTTWEILER,Mediano,33204,L' Arena,1
PITBULL TERRIER,Mediano,33205,El Coto,15
